time,open,high,low,close,volume,atr_norm,norm_return,norm_high_low,norm_body,atr,rsi,ema50,macd,adx,swing_high,swing_low,last_swing_high,last_swing_low,prev_swing_high,structure,bos_bullish,bos_bearish,trend,ob_bullish,ob_bearish,ob_bottom,ob_top,ob_strength,ob_mitigated,active_ob_bull_top,active_ob_bull_bot,active_ob_bear_top,active_ob_bear_bot,inside_ob_bull,inside_ob_bear,fvg_bullish,fvg_bearish,fvg_bull_top,fvg_bull_bot,fvg_bear_top,fvg_bear_bot,active_fvg_bull_top,active_fvg_bull_bot,active_fvg_bear_top,active_fvg_bear_bot,inside_fvg_bull,inside_fvg_bear,sweep_liquidity_high,sweep_liquidity_low,fvg_density,ob_density,range_position,in_premium,in_discount,in_ote_bull,in_ote_bear,is_in_premium,is_in_discount,P_traditional,R1_traditional,S1_traditional,R2_traditional,S2_traditional,P_fibonacci,R1_fibonacci,S1_fibonacci,R2_fibonacci,S2_fibonacci,confluence_score,gold_ema_50,gold_ema_200,gold_trend,dxy_open,dxy_high,dxy_low,dxy_close,dxy_volume,dxy_rsi,dxy_ema_50,dxy_trend,gold_dxy_corr,inverse_confluence,csm_USD,csm_base,csm_quote,csm_diff,news_impact_USD,news_impact_net,news_sentiment,news_impact_score,news_impact_base,news_impact_quote,day_of_week,month,hour,is_london_session,is_new_york_session,is_tokyo_session,london_open,new_york_open,london_close,dxy_corr_30d
2023-07-21 04:00:00,1972.0,1974.300048828125,1966.300048828125,1966.4000244140625,14676,8.0,0.0,1.0,-0.6999969482421875,8.0,50.0,1966.4000244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966.4000244140625,1966.4000244140625,-1,105.63245432331756,105.84371923196422,105.42118941467092,105.63245432331756,10000.0,50.0,105.63245432331756,-1,0.0,0,5.049671415301123,5.0,5.049671415301123,-0.04967141530112329,0.0,0.0,0.0,0.0,0.0,0.0,4,7,4,0,0,1,0,0,0,0.0
2023-07-21 08:00:00,1966.4000244140625,1968.9000244140625,1963.0999755859373,1967.800048828125,30068,6.900024414062614,0.00010318417847618463,0.8405838124723765,0.20290137107474235,6.900024414062614,50.0,1966.4549273322611,0.11168285924122756,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1969.0000406901042,1971.7000325520835,1963.7000325520835,1977.0000406901042,1961.0000406901042,1969.0000406901042,1972.0560406901043,1965.9440406901042,1973.9440406901042,1964.0560406901043,0.0,1966.4549273322611,1966.4139550052473,1,105.63245432331756,105.84371923196422,105.42118941467092,105.63245432331756,10000.0,50.0,105.63245432331756,-1,0.0,1,4.048934489255573,5.0,4.048934489255573,0.951065510744427,0.0,0.0,0.0,0.0,0.0,0.0,4,7,8,1,0,1,1,0,0,0.0
2023-07-21 12:00:00,1967.800048828125,1970.199951171875,1958.800048828125,1962.4000244140625,73672,8.399983723958409,-0.0003266903541848558,1.3571338610139485,-0.6428612949166278,8.399983723958409,20.58844648691344,1966.2959115315475,-0.23286024258004545,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1966.6000162760417,1970.1000569661462,1964.300008138021,1972.400065104167,1960.7999674479165,1966.6000162760417,1968.8156349283856,1964.3843976236979,1970.184446451823,1963.0155861002604,0.0,1966.2959115315475,1966.374015397375,-1,105.63245432331756,105.84371923196422,105.42118941467092,105.63245432331756,10000.0,50.0,105.63245432331756,-1,0.0,0,3.958376666514341,5.0,3.958376666514341,1.041623333485659,0.0,0.0,0.0,0.0,0.0,0.0,4,7,12,1,1,0,0,1,0,0.0
2023-07-21 16:00:00,1962.300048828125,1966.800048828125,1962.199951171875,1964.5,18575,7.450012207031307,0.00014363812281286025,0.6174617609228126,0.29529497546308586,7.450012207031307,39.325734820118235,1966.2254836283496,-0.3326283212818453,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1963.8000081380208,1968.7999674479165,1957.4000651041665,1975.1999104817708,1952.4001057942708,1963.8000081380208,1968.1547708333333,1959.4452454427083,1970.8451477864583,1956.7548684895833,0.0,1966.2254836283496,1966.3553684779981,-1,105.63245432331756,105.84371923196422,105.42118941467092,105.63245432331756,10000.0,50.0,105.63245432331756,-1,0.0,0,3.8607628140454433,5.0,3.8607628140454433,1.1392371859545567,0.0,0.0,0.0,0.0,0.0,0.0,4,7,16,1,1,0,0,0,1,0.0
2023-07-21 20:00:00,1964.5,1964.699951171875,1963.5,1963.9000244140625,1397,6.2000000000000455,-4.9259483734475474e-05,0.19354051159274052,-0.09677025579637026,6.2000000000000455,36.8421052631579,1966.134289149358,-0.45486485907144925,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1964.5,1966.800048828125,1962.199951171875,1969.10009765625,1959.89990234375,1964.5,1966.2572373046876,1962.7427626953124,1967.3428603515624,1961.6571396484376,0.0,1966.134289149358,1966.3309371937798,-1,105.63245432331756,105.84371923196422,105.42118941467092,105.63245432331756,10000.0,50.0,105.63245432331756,-1,0.0,0,4.43479413483552,5.0,4.43479413483552,0.5652058651644802,0.0,0.0,0.0,0.0,0.0,0.0,4,7,20,0,1,0,0,0,0,0.0
2023-07-23 20:00:00,1963.5999755859373,1964.800048828125,1962.199951171875,1963.0,1753,5.600016276041704,-8.18362321163293e-05,0.4643018034383007,-0.10713818609851564,5.600016276041704,33.65376715142553,1966.0113758493833,-0.6172474005234108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1964.0333251953125,1964.566650390625,1963.36669921875,1965.2332763671875,1962.8333740234375,1964.0333251953125,1964.4917065429688,1963.5749438476562,1964.7748950195312,1963.2917553710938,0.0,1966.0113758493833,1966.2977935401104,-1,105.63245432331756,105.84371923196422,105.42118941467092,105.63245432331756,10000.0,50.0,105.63245432331756,-1,0.0,0,4.015596310757511,5.0,4.015596310757511,0.9844036892424892,0.0,0.0,0.0,0.0,0.0,0.0,6,7,20,0,1,0,0,0,0,0.0
2023-07-24 00:00:00,1963.0,1964.5,1960.9000244140625,1961.800048828125,8732,5.31429617745539,-0.00011502639783948376,0.6774134270516426,-0.22579681895892467,5.31429617745539,30.172477295926427,1965.8462257701183,-0.8331586316051016,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1963.3333333333333,1964.4667154947915,1961.8666178385415,1965.9334309895833,1960.7332356770833,1963.3333333333333,1964.3265706380207,1962.3400960286458,1964.9401936848958,1961.7264729817707,0.0,1965.8462257701183,1966.2530398613844,-1,105.85042179334064,106.06212263692731,105.63872094975396,105.85042179334064,10000.0,50.0,105.64100206724004,1,0.0,-1,4.392898123290393,5.0,4.392898123290393,0.6071018767096072,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,0,0,1,0,0,0,0.0
2023-07-24 04:00:00,1961.699951171875,1967.300048828125,1959.5,1964.9000244140625,21845,5.625015258789091,0.00028091816808433487,1.3866715856347975,0.5689003664812079,5.625015258789091,44.89794223646842,1965.8091198345867,-0.7455336675445778,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1962.4000244140625,1963.9000244140625,1960.300048828125,1966.0,1958.800048828125,1962.4000244140625,1963.7752150878907,1961.0248337402343,1964.6248093261718,1960.1752395019532,0.0,1965.8091198345867,1966.2395770211126,-1,105.85042179334064,106.06212263692731,105.63872094975396,105.85042179334064,10000.0,50.0,105.6492146055185,1,0.0,-1,5.112407703950346,5.0,5.112407703950346,-0.11240770395034616,0.0,0.0,0.0,0.0,0.0,0.0,0,7,4,0,0,1,0,0,0,0.0
2023-07-24 08:00:00,1964.9000244140625,1969.800048828125,1961.4000244140625,1966.9000244140625,27288,5.933349609375025,0.0001715495561307681,1.4157305682425978,0.3370777270295834,5.933349609375025,51.49701036504246,1965.851900406331,-0.508841360459428,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1963.9000244140625,1968.300048828125,1960.5,1971.7000732421875,1956.0999755859375,1963.9000244140625,1966.8796430664063,1960.9204057617187,1968.7204545898437,1959.0795942382813,0.0,1965.851900406331,1966.246148636963,1,105.85042179334064,106.06212263692731,105.63872094975396,105.85042179334064,10000.0,50.0,105.6571050834723,1,0.0,0,7.04226322378158,5.0,7.04226322378158,-2.04226322378158,0.0,0.0,0.0,0.0,0.0,0.0,0,7,8,1,0,1,1,0,0,0.0
2023-07-24 12:00:00,1966.9000244140625,1969.800048828125,1958.5,1961.5999755859373,87081,6.470019531250022,-0.0004164779310035311,1.7465246856746048,-0.8191704526587799,6.470019531250022,39.090798117897315,1965.6851582565116,-0.740395825693895,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1966.0333658854167,1970.666707356771,1962.2666829427085,1974.4333902994792,1957.6333414713542,1966.0333658854167,1969.2421752115886,1962.824556559245,1971.2245809733074,1960.842150797526,0.0,1965.6851582565116,1966.199918059341,-1,105.85042179334064,106.06212263692731,105.63872094975396,105.85042179334064,10000.0,50.0,105.66468613091811,1,0.0,-1,7.287772297960615,5.0,7.287772297960615,-2.2877722979606148,0.0,0.0,0.0,0.0,0.0,0.0,0,7,12,1,1,0,0,1,0,0.0
