time,open,high,low,close,volume,atr_norm,norm_return,norm_high_low,norm_body,atr,rsi,ema50,macd,adx,swing_high,swing_low,last_swing_high,last_swing_low,prev_swing_high,structure,bos_bullish,bos_bearish,trend,ob_bullish,ob_bearish,ob_bottom,ob_top,ob_strength,ob_mitigated,active_ob_bull_top,active_ob_bull_bot,active_ob_bear_top,active_ob_bear_bot,inside_ob_bull,inside_ob_bear,fvg_bullish,fvg_bearish,fvg_bull_top,fvg_bull_bot,fvg_bear_top,fvg_bear_bot,active_fvg_bull_top,active_fvg_bull_bot,active_fvg_bear_top,active_fvg_bear_bot,inside_fvg_bull,inside_fvg_bear,sweep_liquidity_high,sweep_liquidity_low,fvg_density,ob_density,range_position,in_premium,in_discount,in_ote_bull,in_ote_bear,is_in_premium,is_in_discount,P_traditional,R1_traditional,S1_traditional,R2_traditional,S2_traditional,P_fibonacci,R1_fibonacci,S1_fibonacci,R2_fibonacci,S2_fibonacci,confluence_score,gold_ema_50,gold_ema_200,gold_trend,dxy_open,dxy_high,dxy_low,dxy_close,dxy_volume,dxy_rsi,dxy_ema_50,dxy_trend,gold_dxy_corr,inverse_confluence,csm_EUR,csm_USD,csm_base,csm_quote,csm_diff,news_impact_EUR,news_impact_USD,news_impact_net,news_sentiment,news_impact_score,news_impact_base,news_impact_quote,day_of_week,month,hour,is_london_session,is_new_york_session,is_tokyo_session,london_open,new_york_open,london_close,dxy_corr_30d
2004-01-01,1.259001851081848,1.2607955932617188,1.2473959922790527,1.2581939697265625,0,0.013399600982666016,0.0,1.0,-0.06029144870287657,0.013399600982666016,50.0,1.2581939697265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2581939697265625,1.2581939697265625,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,5.049671415301123,4.988907036802601,5.049671415301123,4.988907036802601,0.06076437849852212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,0,0.0
2004-01-05,1.2639029026031494,1.2694060802459717,1.2636953592300415,1.2686975002288818,0,0.012305855751037598,0.6783844456160526,0.4640653304788383,0.3896191961561189,0.012305855751037598,50.0,1.258605872883516,0.0008378884731194969,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.255461851755778,1.2635277112325034,1.2501281102498374,1.268861452738444,1.242062250773112,1.255461851755778,1.2605804993311565,1.2503432041803997,1.2637428051630657,1.2471808983484904,0.0,1.258605872883516,1.2582984824678791,1,470.2005487473248,471.1409498448195,469.2601476498302,470.2005487473248,10000.0,50.0,470.2005487473248,-1,0.0,1,9.402625060422103,4.861379851434541,9.402625060422103,4.861379851434541,4.541245208987562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0.0
2004-01-06,1.2689067125320437,1.2808033227920532,1.2672022581100464,1.2721028327941897,0,0.012737592061360678,0.21072405336121433,1.0677893134343257,0.2509202875040555,0.012737592061360678,50.0,1.2591351654290328,0.0017564556755240712,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0,1.2672022581100464,1.2607955932617188,0.0,0.0,1.2672022581100464,1.2607955932617188,0.0,0.0,1,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.267266313234965,1.2708372672398887,1.2651265462239585,1.2729770342508953,1.261555592219035,1.267266313234965,1.2694478086630505,1.2650848178068796,1.2707955388228098,1.2637370876471203,20.0,1.2591351654290328,1.2584358391875439,1,471.481847720522,472.4248114159631,470.53888402508096,471.481847720522,10000.0,50.0,470.25079576588155,1,0.0,0,10.0,5.862304429496007,10.0,5.862304429496007,4.137695570503993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0.0
2004-01-07,1.272394061088562,1.2739989757537842,1.2624987363815308,1.2640947103500366,0,0.012428253889083862,-0.5065220647641074,0.9253302575637316,-0.6677809137625502,0.012428253889083862,63.461569841122795,1.2593296573867192,0.0018172896627686175,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.2672022581100464,1.2607955932617188,0.0,0.0,1.2672022581100464,1.2607955932617188,0.0,0.0,1,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.2733694712320964,1.2795366843541465,1.2659356196721396,1.2869705359141033,1.2597684065500896,1.2733694712320964,1.278565077940623,1.2681738645235698,1.2817749292055767,1.2649640132586162,20.0,1.2593296573867192,1.25849214636329,1,472.1070277207447,473.05124177618615,471.1628136653032,472.1070277207447,10000.0,50.0,470.32358917587624,1,0.0,0,10.0,6.207723528804398,10.0,6.207723528804398,3.792276471195602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1,0,0,0,0.0
2004-01-08,1.2640947103500366,1.2787070274353027,1.256502389907837,1.2774981260299685,0,0.014383530616760254,0.7371746129473934,1.5437543200688226,0.9318585288311395,0.014383530616760254,77.3272041824028,1.260042146353121,0.002913460109718047,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.2672022581100464,1.2607955932617188,0.0,0.0,1.2672022581100464,1.2607955932617188,0.0,0.0,1,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.2668641408284504,1.2712295452753701,1.2597293059031167,1.2783643802007039,1.255363901456197,1.2668641408284504,1.2712572322686513,1.2624710493882496,1.273971288760503,1.2597569928963979,20.0,1.260042146353121,1.2586812605888291,1,469.74180916640194,470.6812927847348,468.8023255480691,469.74180916640194,10000.0,44.63047678421301,470.3007742735439,-1,0.0,1,10.0,6.781907206196704,10.0,6.781907206196704,3.2180927938032964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,0,0.0
2004-01-09,1.2774981260299685,1.2867032289505005,1.2712942361831665,1.2858924865722656,0,0.014554440975189209,0.45147303614002005,1.0587141611004862,0.5767559576219322,0.014554440975189209,81.68096513283089,1.2610558851852445,0.0044087168836686175,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.2672022581100464,1.2607955932617188,0.0,0.0,1.2672022581100464,1.2607955932617188,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.2709025144577026,1.2853026390075684,1.2630980014801025,1.2931071519851685,1.2486978769302368,1.2709025144577026,1.2793846859931945,1.2624203429222107,1.2846249804496765,1.2571800484657287,0.0,1.2610558851852445,1.2589520190563261,1,467.2039620090167,468.1383699330347,466.2695540849986,467.2039620090167,10000.0,27.99715783609001,470.17933065532713,-1,0.0,1,10.0,6.614425946845524,10.0,6.614425946845524,3.3855740531544756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,0.0
2004-01-12,1.2848020792007446,1.289706826210022,1.2738043069839478,1.2740962505340576,0,0.014747023582458496,-0.6220630716770413,1.0783544989370044,-0.7259653859522905,0.014747023582458496,64.3235407808271,1.2615672720616686,0.004588962286038445,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.2672022581100464,1.2607955932617188,0.0,0.0,1.2672022581100464,1.2607955932617188,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.2812966505686443,1.291299064954122,1.275890072186788,1.2967056433359783,1.2658876578013103,1.2812966505686443,1.287182885805766,1.2754104153315227,1.2908194080988566,1.271773893038432,0.0,1.2615672720616686,1.2591027079267514,1,468.0892455184399,469.0254240094768,467.15306702740304,468.0892455184399,10000.0,36.281024244475994,470.097366532312,-1,0.0,1,10.0,5.246260557061828,10.0,5.246260557061828,4.753739442938172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0.0
2004-01-13,1.2744048833847046,1.2797051668167114,1.2718924283981323,1.278592586517334,0,0.013880237936973572,0.2542492071730097,0.5628677587556241,0.30170254657338214,0.013880237936973572,66.99676982307517,1.262234931452087,0.005036566400110409,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.2672022581100464,1.2607955932617188,0.0,0.0,1.2672022581100464,1.2607955932617188,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.2792024612426758,1.2846006155014038,1.2686980962753296,1.29510498046875,1.2632999420166016,1.2792024612426758,1.2852772235870362,1.2731276988983153,1.2890302181243896,1.269374704360962,0.0,1.262234931452087,1.2592966370669563,1,470.46896113433166,471.4098990566004,469.528023212063,470.46896113433166,10000.0,51.33213171760756,470.1119388696461,1,0.0,0,10.0,6.104198797235232,10.0,6.104198797235232,3.895801202764768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0.0
2004-01-14,1.278805136680603,1.278805136680603,1.2406023740768433,1.2651021480560305,0,0.016582740677727595,-0.6362643259789801,2.303766509179643,-0.8263404036087424,0.016582740677727595,54.69958348471493,1.2623473713189084,0.00425369628288208,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.2672022581100464,1.2607955932617188,0.0,0.0,1.2672022581100464,1.2607955932617188,0.0,0.0,1,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.2767300605773926,1.2815676927566528,1.2737549543380737,1.2845427989959717,1.2689173221588135,1.2767300605773926,1.2797145266532899,1.2737455945014953,1.2815583329200744,1.2719017882347108,20.0,1.2623473713189084,1.2593544033454547,1,473.1998326533194,474.146232318626,472.2534329880128,473.1998326533194,10000.0,61.71099815519725,470.23303274351565,1,0.0,0,10.0,5.44442371292474,10.0,5.44442371292474,4.55557628707526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1,0,0,0,0.0
2004-01-15,1.2655985355377195,1.2671059370040894,1.256897211074829,1.260096549987793,0,0.01594533920288086,-0.2481399091399471,0.6402325970849108,-0.34505290103408315,0.01594533920288086,51.21178253514624,1.2622591038157274,0.0031925543647057797,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1,1.2672022581100464,1.2607955932617188,1.2718924283981323,1.2671059370040894,1.2672022581100464,1.2607955932617188,1.2718924283981323,1.2671059370040894,1,1,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.2615032196044922,1.2824040651321411,1.2442013025283813,1.299705982208252,1.2233004570007324,1.2615032196044922,1.2760966749191285,1.246909764289856,1.2851125268936157,1.2378939123153687,40.0,1.2622591038157274,1.2593617878891594,-1,488.5380153875152,489.5150914182902,487.5609393567401,488.5380153875152,10000.0,82.57839775625072,470.95087520014306,1,0.0,-1,10.0,7.6576615452252295,10.0,7.6576615452252295,2.3423384547747705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,0,0.0
2004-01-16,1.260001301765442,1.2610021829605105,1.2363996505737305,1.239802598953247,0,0.01673235676505351,-0.9625109294374475,1.4703566707449014,-1.2071642444524597,0.01673235676505351,40.69237377710641,1.2613784565662183,0.0007059023022424338,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.2672022581100464,1.2607955932617188,1.2718924283981323,1.2671059370040894,1.2672022581100464,1.2607955932617188,1.2718924283981323,1.2671059370040894,1,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.261366566022237,1.265835920969645,1.2556271950403848,1.2715752919514973,1.2511578400929768,1.261366566022237,1.2652662993272146,1.2574668327172596,1.2676755586465198,1.2550575733979543,20.0,1.2613784565662183,1.2591671690937771,-1,490.5602669616188,491.5413874955421,489.5791464276956,490.5602669616188,10000.0,83.74630328465132,471.719870955495,1,0.0,-1,9.136368811535698,8.020053795912782,9.136368811535698,8.020053795912782,1.1163150156229165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,0.0
