time,open,high,low,close,volume,atr_norm,norm_return,norm_high_low,norm_body,atr,rsi,ema50,macd,adx,swing_high,swing_low,last_swing_high,last_swing_low,prev_swing_high,structure,bos_bullish,bos_bearish,trend,ob_bullish,ob_bearish,ob_bottom,ob_top,ob_strength,ob_mitigated,active_ob_bull_top,active_ob_bull_bot,active_ob_bear_top,active_ob_bear_bot,inside_ob_bull,inside_ob_bear,fvg_bullish,fvg_bearish,fvg_bull_top,fvg_bull_bot,fvg_bear_top,fvg_bear_bot,active_fvg_bull_top,active_fvg_bull_bot,active_fvg_bear_top,active_fvg_bear_bot,inside_fvg_bull,inside_fvg_bear,sweep_liquidity_high,sweep_liquidity_low,fvg_density,ob_density,range_position,in_premium,in_discount,in_ote_bull,in_ote_bear,is_in_premium,is_in_discount,P_traditional,R1_traditional,S1_traditional,R2_traditional,S2_traditional,P_fibonacci,R1_fibonacci,S1_fibonacci,R2_fibonacci,S2_fibonacci,confluence_score,gold_ema_50,gold_ema_200,gold_trend,dxy_open,dxy_high,dxy_low,dxy_close,dxy_volume,dxy_rsi,dxy_ema_50,dxy_trend,gold_dxy_corr,inverse_confluence,csm_USD,csm_JPY,csm_base,csm_quote,csm_diff,news_impact_USD,news_impact_JPY,news_impact_net,news_sentiment,news_impact_score,news_impact_base,news_impact_quote,day_of_week,month,hour,is_london_session,is_new_york_session,is_tokyo_session,london_open,new_york_open,london_close,dxy_corr_30d
2004-01-01,106.9499969482422,107.47000122070312,106.9499969482422,107.3000030517578,0,0.5200042724609233,0.0,1.0,0.6730831303735075,0.5200042724609233,50.0,107.3000030517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.3000030517578,107.3000030517578,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,-1,5.049671415301123,4.807402577108951,5.049671415301123,4.807402577108951,0.2422688381921727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,0,0.0
2004-01-02,107.31999969482422,107.48999786376952,106.7300033569336,106.91000366210938,0,0.6399993896484233,-0.005679166916488029,1.1874925494123019,-0.6406194120592374,0.6399993896484233,0.0,107.2847089580461,-0.031111062422098712,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,107.24000040690105,107.53000386555989,107.00999959309897,107.76000467936197,106.71999613444012,107.24000040690105,107.43864203898111,107.04135877482098,107.5613630472819,106.91863776652019,0.0,107.2847089580461,107.29612246081602,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,-1,4.708552139261091,6.626319614981005,4.708552139261091,6.626319614981005,-1.9177674757199146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,0.0
2004-01-05,106.93000030517578,107.31999969482422,106.01000213623048,106.23999786376952,0,0.8633321126301942,-0.007259092348884444,1.5173738349691963,-0.7992317571787403,0.8633321126301942,0.0,107.24373989552544,-0.10857904039903588,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,107.0433349609375,107.3566665649414,106.59667205810548,107.80332946777342,106.28334045410158,107.0433349609375,107.33365286254882,106.75301705932618,107.5130115661621,106.5736583557129,0.0,107.24373989552544,107.28561375835785,-1,470.2005487473248,471.1409498448195,469.2601476498302,470.2005487473248,10000.0,50.0,470.2005487473248,-1,0.0,-1,9.402625060422103,7.503091922306638,9.402625060422103,7.503091922306638,1.8995331381154656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0.0
2004-01-06,106.23999786376952,106.38999938964844,105.9800033569336,106.2300033569336,0,0.7499980926513565,-0.00012543338923564894,0.5466627671884415,-0.01332604300444445,0.7499980926513565,0.0,107.20398552146303,-0.16883323975365272,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,106.7300033569336,106.38999938964844,0.0,0.0,106.7300033569336,106.38999938964844,0,1,0,0,0.0,0.0,0.5,0,0,0,0,0,0,106.52333323160808,107.03666432698567,105.72666676839194,107.83333079020181,105.21333567301434,106.52333323160808,107.02375229899089,106.02291416422527,107.332911722819,105.71375474039715,20.0,107.20398552146303,107.27511017227403,-1,471.481847720522,472.4248114159631,470.53888402508096,471.481847720522,10000.0,50.0,470.25079576588155,1,0.0,0,10.0,6.498792429612942,10.0,6.498792429612942,3.5012075703870584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0.0
2004-01-07,106.22000122070312,106.41000366210938,105.95999908447266,106.18000030517578,0,0.689999389648429,-0.0006821825545172824,0.6521811241978152,-0.05797239262447053,0.689999389648429,0.0,107.16382923847138,-0.2181057677101279,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,106.7300033569336,106.38999938964844,0.0,0.0,106.7300033569336,106.38999938964844,0,1,0,0,0.0,0.0,0.5,0,0,0,0,0,0,106.2000020345052,106.42000071207681,106.01000467936197,106.60999806722005,105.79000600179036,106.2000020345052,106.35662051900228,106.04338355000813,106.45337958272297,105.94662448628743,20.0,107.16382923847138,107.26421355668101,-1,472.1070277207447,473.05124177618615,471.1628136653032,472.1070277207447,10000.0,50.0,470.32358917587624,1,0.0,0,10.0,7.499717007674404,10.0,7.499717007674404,2.5002829923255963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1,0,0,0,0.0
2004-01-08,106.19000244140624,106.25,106.04000091552734,106.16999816894533,0,0.6099993387858001,-0.0001544260912279214,0.34426116738201407,-0.0327939248274063,0.6099993387858001,0.0,107.12485547103898,-0.25502195554955165,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,106.7300033569336,106.38999938964844,0.0,0.0,106.7300033569336,106.38999938964844,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,106.18333435058594,106.40666961669922,105.9566650390625,106.63333892822266,105.73332977294922,106.18333435058594,106.35523609924316,106.01143260192872,106.46143717956544,105.90523152160644,0.0,107.12485547103898,107.25332584138016,-1,469.74180916640194,470.6812927847348,468.8023255480691,469.74180916640194,10000.0,44.63047678421301,470.3007742735439,-1,0.0,-1,10.0,7.8451361069827925,10.0,7.8451361069827925,2.1548638930172075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,0,0.0
2004-01-09,106.18000030517578,108.20999908447266,106.11000061035156,106.58000183105467,0,0.8228563581194136,0.004693122568979356,2.5520839128235067,0.4861134290717159,0.8228563581194136,26.623466698372198,107.10348866162784,-0.24833181678768312,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,106.7300033569336,106.38999938964844,0.0,0.0,106.7300033569336,106.38999938964844,0,1,0,0,0.0,0.0,0.5,0,0,0,0,0,0,106.15333302815755,106.26666514078775,106.0566660563151,106.3633321126302,105.94333394368489,106.15333302815755,106.23355267842611,106.07311337788899,106.28311246236164,106.02355359395345,20.0,107.10348866162784,107.24662609998389,-1,467.2039620090167,468.1383699330347,466.2695540849986,467.2039620090167,10000.0,27.99715783609001,470.17933065532713,-1,0.0,-1,10.0,8.419319784375094,10.0,8.419319784375094,1.5806802156249056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,0.0
2004-01-12,106.61000061035156,106.73999786376952,106.29000091552734,106.5999984741211,0,0.7762489318847585,0.00024170206213042334,0.5797070111897811,-0.012885217382757908,0.7762489318847585,27.564030458789034,107.08374394839228,-0.23866508905969397,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0,106.29000091552734,106.25,106.7300033569336,106.38999938964844,106.29000091552734,106.25,106.7300033569336,106.38999938964844,1,1,0,0,0.0,0.0,0.5,0,0,0,0,0,0,106.96666717529297,107.82333374023438,105.72333526611328,109.06666564941406,104.86666870117188,106.96666717529297,107.76886659240722,106.16446775817872,108.26446623229981,105.66886811828613,40.0,107.08374394839228,107.2401919942539,-1,468.0892455184399,469.0254240094768,467.15306702740304,468.0892455184399,10000.0,36.281024244475994,470.097366532312,-1,0.0,-1,10.0,8.935832129675767,10.0,8.935832129675767,1.0641678703242334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0.0
2004-01-13,106.5999984741211,106.5999984741211,106.12999725341795,106.23999786376952,0,0.7422214084201342,-0.004550012206380644,0.6332358718991505,-0.48503129425741176,0.7422214084201342,22.39578159334613,107.05065586664237,-0.25708960931157776,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,106.29000091552734,106.25,106.7300033569336,106.38999938964844,106.29000091552734,106.25,106.7300033569336,106.38999938964844,1,1,0,0,0.0,0.0,0.5,0,0,0,0,0,0,106.54333241780598,106.79666392008463,106.34666697184245,106.99332936604816,106.09333546956381,106.54333241780598,106.7152312520345,106.37143358357747,106.82143053181964,106.26523430379233,40.0,107.05065586664237,107.23023981385107,-1,470.46896113433166,471.4098990566004,469.528023212063,470.46896113433166,10000.0,51.33213171760756,470.1119388696461,1,0.0,0,10.0,6.883673135240214,10.0,6.883673135240214,3.1163268647597864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0.0
2004-01-15,106.1999969482422,106.4499969482422,105.9800033569336,106.2699966430664,0,0.7149986267089815,0.00039492108537014927,0.6573349566724477,0.09790185912160611,0.7149986267089815,23.58964126279895,107.02004177944332,-0.2662019136184455,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,106.29000091552734,106.25,106.7300033569336,106.38999938964844,106.29000091552734,106.25,106.7300033569336,106.38999938964844,1,1,0,0,0.0,0.0,0.5,0,0,0,0,0,0,106.32333119710286,106.51666514078777,106.04666392008463,106.793332417806,105.85332997639972,106.32333119710286,106.50287166341145,106.14379073079427,106.6137919514974,106.03287044270832,40.0,107.02004177944332,107.2206851554353,-1,488.5380153875152,489.5150914182902,487.5609393567401,488.5380153875152,10000.0,82.57839775625072,470.83453010564097,1,0.0,0,10.0,7.081836291103124,10.0,7.081836291103124,2.918163708896876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,0,0.0
