time,open,high,low,close,volume,atr_norm,norm_return,norm_high_low,norm_body,atr,rsi,ema50,macd,adx,swing_high,swing_low,last_swing_high,last_swing_low,prev_swing_high,structure,bos_bullish,bos_bearish,trend,ob_bullish,ob_bearish,ob_bottom,ob_top,ob_strength,ob_mitigated,active_ob_bull_top,active_ob_bull_bot,active_ob_bear_top,active_ob_bear_bot,inside_ob_bull,inside_ob_bear,fvg_bullish,fvg_bearish,fvg_bull_top,fvg_bull_bot,fvg_bear_top,fvg_bear_bot,active_fvg_bull_top,active_fvg_bull_bot,active_fvg_bear_top,active_fvg_bear_bot,inside_fvg_bull,inside_fvg_bear,sweep_liquidity_high,sweep_liquidity_low,fvg_density,ob_density,range_position,in_premium,in_discount,in_ote_bull,in_ote_bear,is_in_premium,is_in_discount,P_traditional,R1_traditional,S1_traditional,R2_traditional,S2_traditional,P_fibonacci,R1_fibonacci,S1_fibonacci,R2_fibonacci,S2_fibonacci,confluence_score,gold_ema_50,gold_ema_200,gold_trend,dxy_open,dxy_high,dxy_low,dxy_close,dxy_volume,dxy_rsi,dxy_ema_50,dxy_trend,gold_dxy_corr,inverse_confluence,csm_GBP,csm_USD,csm_base,csm_quote,csm_diff,news_impact_GBP,news_impact_USD,news_impact_net,news_sentiment,news_impact_score,news_impact_base,news_impact_quote,day_of_week,month,hour,is_london_session,is_new_york_session,is_tokyo_session,london_open,new_york_open,london_close,dxy_corr_30d
2004-01-01,1.7888127565383911,1.7888127565383911,1.7817054986953735,1.785204291343689,0,0.007107257843017578,0.0,1.0,-0.5077155317007715,0.007107257843017578,50.0,1.785204291343689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.785204291343689,1.785204291343689,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,5.049671415301123,4.988907036802601,5.049671415301123,4.988907036802601,0.06076437849852212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,0,0.0
2004-01-02,1.785586714744568,1.7950098514556885,1.7792011499404907,1.7936897277832031,0,0.011457979679107666,0.41483769728399184,1.3797110797833878,0.7071938741006814,0.011457979679107666,50.0,1.7855370535570034,0.0006769009125540126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.7852408488591511,1.7887761990229287,1.7816689411799111,1.7923481067021687,1.7781335910161336,1.7852408488591511,1.7879558213551838,1.7825258763631184,1.789633134206136,1.7808485635121662,0.0,1.7855370535570034,1.7852887235470674,1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,1,4.708552139261091,4.252418056487272,4.708552139261091,4.252418056487272,0.4561340827738185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,0.0
2004-01-05,1.7954933643341064,1.8103152513504028,1.7951065301895142,1.807207107543945,0,0.01318049430847168,0.5717596407581174,1.1538809398911059,0.8887180507569971,0.01318049430847168,50.0,1.7863868595957069,0.002277831911422501,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0,1.7951065301895142,1.7888127565383911,0.0,0.0,1.7951065301895142,1.7888127565383911,0.0,0.0,1,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.7893002430597942,1.7993993361790976,1.7835906346638999,1.805108944574992,1.7734915415445964,1.7893002430597942,1.7953391670385996,1.7832613190809887,1.7990700205961865,1.7795304655234019,20.0,1.7863868595957069,1.7855068169201707,1,470.2005487473248,471.1409498448195,469.2601476498302,470.2005487473248,10000.0,50.0,470.2005487473248,-1,0.0,1,9.402625060422103,4.861379851434541,9.402625060422103,4.861379851434541,4.541245208987562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0.0
2004-01-06,1.8074030876159668,1.8277859687805176,1.805510401725769,1.8212946653366089,0,0.015454262495040894,0.5044051361540705,1.44138661174524,0.8988832514718672,0.015454262495040894,50.0,1.7877557931541737,0.00462995816566103,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0,1.805510401725769,1.7950098514556885,0.0,0.0,1.805510401725769,1.7950098514556885,0.0,0.0,1,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.8042096296946208,1.8133127291997275,1.7981040080388389,1.8194183508555095,1.7890009085337322,1.8042096296946208,1.8100193611780804,1.7983998982111613,1.81360861937205,1.7948106400171917,20.0,1.7877557931541737,1.7858629149143643,1,471.481847720522,472.4248114159631,470.53888402508096,471.481847720522,10000.0,50.0,470.25079576588155,1,0.0,0,10.0,5.862304429496007,10.0,5.862304429496007,4.137695570503993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0.0
2004-01-07,1.8208967447280884,1.8255836963653564,1.8127107620239256,1.8177852630615237,0,0.014937996864318893,-0.12899134578351892,0.8617577348793904,-0.208293099458124,0.014937996864318893,91.13782297320536,1.7889334194250504,0.0061400767512753696,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0,1.8127107620239256,1.8103152513504028,0.0,0.0,1.8127107620239256,1.8103152513504028,0.0,0.0,1,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.8181970119476318,1.8308836221694946,1.808608055114746,1.8404725790023804,1.7959214448928833,1.8181970119476318,1.8267062785625459,1.8096877453327178,1.8319633123874663,1.8044307115077973,20.0,1.7889334194250504,1.7861805502193113,1,472.1070277207447,473.05124177618615,471.1628136653032,472.1070277207447,10000.0,50.0,470.32358917587624,1,0.0,0,10.0,6.207723528804398,10.0,6.207723528804398,3.792276471195602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1,0,0,0,0.0
2004-01-08,1.8166953325271609,1.8356033563613887,1.811102032661438,1.8338866233825684,0,0.01653188467025753,0.5357937259038306,1.482064760833409,1.0398869335409955,0.01653188467025753,93.69958587923118,1.7906962901684826,0.008537684708620263,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.8127107620239256,1.8103152513504028,0.0,0.0,1.8127107620239256,1.8103152513504028,0.0,0.0,1,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.8186932404836018,1.824675718943278,1.8118027846018472,1.8315661748250327,1.805820306142171,1.8186932404836018,1.8236107014020284,1.8137757795651752,1.826648713906606,1.8107377670605975,20.0,1.7906962901684826,1.786655237514468,1,469.74180916640194,470.6812927847348,468.8023255480691,469.74180916640194,10000.0,44.63047678421301,470.3007742735439,-1,0.0,1,10.0,6.781907206196704,10.0,6.781907206196704,3.2180927938032964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,1,0,0,0,0.0
2004-01-09,1.8339873552322388,1.8506865501403809,1.8290897607803345,1.848087191581726,0,0.01725544248308451,0.44875276629119176,1.2515929035849238,0.8171240096166388,0.01725544248308451,94.97951833117915,1.7929469137533156,0.011451665788426046,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0,1.8290897607803345,1.8255836963653564,0.0,0.0,1.8290897607803345,1.8255836963653564,0.0,0.0,1,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.8268640041351318,1.8426259756088257,1.818124651908875,1.8513653278350826,1.802362680435181,1.8268640041351318,1.8362235097885131,1.8175044984817506,1.8420058221817013,1.8117221860885624,20.0,1.7929469137533156,1.7872665007390178,1,467.2039620090167,468.1383699330347,466.2695540849986,467.2039620090167,10000.0,27.99715783609001,470.17933065532713,-1,0.0,1,10.0,6.614425946845524,10.0,6.614425946845524,3.3855740531544756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,1,0,0,0,0.0
2004-01-12,1.8473020792007449,1.8578037023544312,1.8453929424285889,1.845597267150879,0,0.016649857163429232,-0.08091950123706279,0.7453973811320159,-0.10239199250372541,0.016649857163429232,91.71267897869984,1.7950116334943966,0.013405569633808012,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0,1.8453929424285889,1.8356033563613887,0.0,0.0,1.8453929424285889,1.8356033563613887,0.0,0.0,1,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.8426211675008137,1.856152574221293,1.8345557848612466,1.8642179568608601,1.8210243781407673,1.8426211675008137,1.8508711410363514,1.834371193965276,1.8559679833253224,1.829274351676305,20.0,1.7950116334943966,1.787846906374957,1,468.0892455184399,469.0254240094768,467.15306702740304,468.0892455184399,10000.0,36.281024244475994,470.097366532312,-1,0.0,1,10.0,5.246260557061828,10.0,5.246260557061828,4.753739442938172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0.0
2004-01-13,1.845699429512024,1.8537055253982544,1.840603828430176,1.8488048315048216,0,0.016255617141723584,0.10691409840945973,0.8059796717560498,0.1910356257608294,0.016255617141723584,92.06429801378827,1.7971211706712762,0.015039510035105286,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.8453929424285889,1.8356033563613887,0.0,0.0,1.8453929424285889,1.8356033563613887,0.0,0.0,1,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.849597970644633,1.8538029988606772,1.841392238934835,1.8620087305704753,1.8371872107187908,1.849597970644633,1.8543388809363048,1.8448570603529613,1.8572678202788035,1.8419281210104625,20.0,1.7971211706712762,1.7884534528936622,1,470.46896113433166,471.4098990566004,469.528023212063,470.46896113433166,10000.0,51.33213171760756,470.1119388696461,1,0.0,0,10.0,6.104198797235232,10.0,6.104198797235232,3.895801202764768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0.0
2004-01-14,1.8489073514938357,1.8489073514938357,1.764103889465332,1.831703186035156,0,0.023110401630401588,-0.40025737098277114,3.6694932171557424,-0.7444338585638284,0.023110401630401588,75.08008296994339,1.7984773281365265,0.014784038516773679,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.8453929424285889,1.8356033563613887,0.0,0.0,1.8453929424285889,1.8356033563613887,0.0,0.0,1,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.8477047284444172,1.8548056284586585,1.84170393149058,1.8608064254124956,1.8346030314763389,1.8477047284444172,1.8527095766862232,1.8426998802026113,1.8558015771706897,1.8396078797181448,20.0,1.7984773281365265,1.7888837984970603,1,473.1998326533194,474.146232318626,472.2534329880128,473.1998326533194,10000.0,61.71099815519725,470.23303274351565,1,0.0,0,10.0,5.44442371292474,10.0,5.44442371292474,4.55557628707526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1,0,0,0,0.0
