time,open,high,low,close,tick_volume,atr,rsi,ema50,macd,adx,swing_high,swing_low,last_swing_high,last_swing_low,prev_swing_high,structure,bos_bullish,bos_bearish,trend,ob_bullish,ob_bearish,ob_bottom,ob_top,ob_strength,ob_mitigated,active_ob_bull_top,active_ob_bull_bot,active_ob_bear_top,active_ob_bear_bot,inside_ob_bull,inside_ob_bear,fvg_bullish,fvg_bearish,fvg_bull_top,fvg_bull_bot,fvg_bear_top,fvg_bear_bot,active_fvg_bull_top,active_fvg_bull_bot,active_fvg_bear_top,active_fvg_bear_bot,inside_fvg_bull,inside_fvg_bear,sweep_liquidity_high,sweep_liquidity_low,fvg_density,ob_density,range_position,in_premium,in_discount,in_ote_bull,in_ote_bear,is_in_premium,is_in_discount,P_traditional,R1_traditional,S1_traditional,R2_traditional,S2_traditional,P_fibonacci,R1_fibonacci,S1_fibonacci,R2_fibonacci,S2_fibonacci,confluence_score,gold_ema_50,gold_ema_200,gold_trend,dxy_open,dxy_high,dxy_low,dxy_close,dxy_volume,dxy_rsi,dxy_ema_50,dxy_trend,gold_dxy_corr,inverse_confluence,csm_USD,csm_base,csm_quote,csm_diff,news_impact_USD,news_impact_net,news_sentiment,news_impact_score,news_impact_base,news_impact_quote,day_of_week,month,dxy_corr_30d
2025-07-11 18:00:00,3361.13,3368.75,3360.94,3365.92,2405,7.809999999999945,50.0,3365.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3365.92,3365.92,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,5.049671415301123,5.0,5.049671415301123,-0.04967141530112329,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0.0
2025-07-11 18:30:00,3365.96,3366.27,3356.97,3358.9,2410,8.555000000000064,0.0,3365.644705882353,-0.5599999999999454,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3365.2033333333334,3369.4666666666667,3361.6566666666668,3373.0133333333333,3357.3933333333334,3365.2033333333334,3368.1867533333334,3362.2199133333334,3370.0299133333333,3360.3767533333335,0.0,3365.644705882353,3365.850149253731,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,5.364009073018364,5.0,5.364009073018364,-0.36400907301836405,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0.0
2025-07-11 19:00:00,3358.87,3359.75,3353.27,3355.26,2308,7.863333333333382,0.0,3365.2374625144175,-1.282735042735112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,3360.94,3359.75,0.0,0.0,3360.94,3359.75,0,1,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3360.713333333333,3364.4566666666665,3355.1566666666663,3370.0133333333333,3351.413333333333,3360.713333333333,3364.265933333333,3357.160733333333,3366.4607333333333,3354.965933333333,20.0,3365.2374625144175,3365.744774634291,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,5.379342594217087,5.0,5.379342594217087,-0.3793425942170874,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0.0
2025-07-11 19:30:00,3355.12,3356.35,3352.75,3353.82,2079,6.797500000000014,0.0,3364.7897188864013,-1.9492341782938638,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,3360.94,3359.75,0.0,0.0,3360.94,3359.75,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3356.0933333333337,3358.9166666666674,3352.4366666666674,3362.5733333333337,3349.6133333333337,3356.0933333333337,3358.5686933333336,3353.617973333334,3360.097973333334,3352.0886933333336,0.0,3364.7897188864013,3365.626120160318,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,4.798633247249871,5.0,4.798633247249871,0.20136675275012905,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0.0
2025-07-11 20:00:00,3353.68,3354.04,3349.22,3349.71,2060,6.402000000000044,0.0,3364.198357361445,-2.7770698636654743,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,3360.94,3359.75,0.0,0.0,3360.94,3359.75,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3354.306666666667,3355.8633333333337,3352.263333333334,3357.9066666666668,3350.706666666667,3354.306666666667,3355.681866666667,3352.931466666667,3356.531466666667,3352.081866666667,0.0,3364.198357361445,3365.4677508054892,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,4.591229853354773,5.0,4.591229853354773,0.40877014664522715,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0.0
2025-07-11 20:30:00,3349.71,3353.68,3349.41,3353.28,1918,6.0466666666667,18.048533872599236,3363.7701864845253,-3.1092252312510027,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,3360.94,3359.75,0.0,0.0,3360.94,3359.75,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3350.9900000000002,3352.7600000000007,3347.9400000000005,3355.8100000000004,3346.17,3350.9900000000002,3352.8312400000004,3349.14876,3353.96876,3348.0112400000003,0.0,3363.7701864845253,3365.346479653196,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,4.375388651223949,5.0,4.375388651223949,0.6246113487760514,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0.0
2025-07-11 21:00:00,3353.32,3358.07,3352.93,3355.67,2107,5.917142857142933,26.883175462336567,3363.452532112583,-3.143372881283085,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,3360.94,3359.75,0.0,0.0,3360.94,3359.75,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3352.1233333333334,3354.836666666667,3350.566666666667,3356.3933333333334,3347.8533333333335,3352.1233333333334,3353.7544733333334,3350.4921933333335,3354.7621933333335,3349.4844733333334,0.0,3363.452532112583,3365.250196273563,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,4.434552140019151,5.0,4.434552140019151,0.565447859980849,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0.0
2025-07-11 21:30:00,3355.7,3358.51,3355.38,3356.13,1782,5.56875000000008,28.369421122404063,3363.165373990521,-3.097609668273435,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0,3355.38,3353.68,3360.94,3359.75,3355.38,3353.68,3360.94,3359.75,1,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3355.556666666667,3358.183333333334,3353.0433333333335,3360.696666666667,3350.4166666666665,3355.556666666667,3357.520146666667,3353.5931866666665,3358.733186666667,3352.380146666667,20.0,3363.165373990521,3365.159448051935,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,4.204871304207956,5.0,4.204871304207956,0.7951286957920436,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0.0
2025-07-11 22:00:00,3356.15,3359.35,3355.62,3358.36,1858,5.364444444444517,34.794851166532766,3362.9769279516768,-2.8485631661346815,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,3355.38,3353.68,3360.94,3359.75,3355.38,3353.68,3360.94,3359.75,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3356.6733333333336,3357.966666666667,3354.836666666667,3359.8033333333337,3353.5433333333335,3356.6733333333336,3357.8689933333335,3355.4776733333338,3358.607673333334,3354.7389933333334,0.0,3362.9769279516768,3365.0917918524137,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,4.048934489255573,5.0,4.048934489255573,0.951065510744427,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0.0
2025-07-11 22:30:00,3358.34,3359.71,3356.01,3356.47,1988,5.1980000000000475,32.33644859813063,3362.721754306513,-2.7717482352145453,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,3355.38,3353.68,3360.94,3359.75,3355.38,3353.68,3360.94,3359.75,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3357.7766666666666,3359.9333333333334,3356.2033333333334,3361.5066666666667,3354.0466666666666,3357.7766666666666,3359.2015266666667,3356.3518066666666,3360.0818066666666,3355.4715266666667,0.0,3362.721754306513,3365.006002878758,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,3.9631060237202336,5.0,3.9631060237202336,1.0368939762797664,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0.0
