time,open,high,low,close,tick_volume,spread,real_volume
2026-03-30 05:15:00,4472.6,4474.09,4466.3,4472.73,4269,4,0
2026-03-30 05:30:00,4472.77,4499.26,4458.7,4494.71,5877,4,0
2026-03-30 05:45:00,4494.71,4496.23,4478.73,4481.1,5618,4,0
2026-03-30 06:00:00,4481.1,4508.7,4478.58,4504.5,5859,4,0
2026-03-30 06:15:00,4504.49,4517.26,4503.75,4506.94,5427,4,0
2026-03-30 06:30:00,4506.94,4507.5,4499.61,4503.38,3952,4,0
2026-03-30 06:45:00,4503.38,4507.33,4494.54,4495.96,3704,4,0
2026-03-30 07:00:00,4495.96,4498.6,4486.66,4487.6,4094,4,0
2026-03-30 07:15:00,4487.6,4495.39,4487.24,4490.55,3172,4,0
2026-03-30 07:30:00,4490.55,4491.15,4486.21,4488.12,2947,4,0
2026-03-30 07:45:00,4488.12,4498.59,4486.83,4496.75,3249,4,0
2026-03-30 08:00:00,4496.77,4507.93,4496.77,4504.72,3908,4,0
2026-03-30 08:15:00,4504.72,4515.71,4504.03,4505.36,4014,4,0
2026-03-30 08:30:00,4505.36,4515.17,4503.46,4510.42,5239,4,0
2026-03-30 08:45:00,4510.47,4528.5,4510.19,4522.48,5627,4,0
2026-03-30 09:00:00,4522.46,4534.36,4516.95,4530.47,6112,4,0
2026-03-30 09:15:00,4530.47,4535.37,4526.85,4528.52,5864,4,0
2026-03-30 09:30:00,4528.52,4541.94,4526.24,4540.3,4848,4,0
2026-03-30 09:45:00,4540.34,4550.61,4531.31,4532.4,5501,4,0
2026-03-30 10:00:00,4532.42,4534.72,4523.86,4534.29,5049,4,0
2026-03-30 10:15:00,4534.29,4534.95,4520.65,4522.9,5114,4,0
2026-03-30 10:30:00,4522.9,4526.04,4516.09,4521.34,5301,4,0
2026-03-30 10:45:00,4521.34,4528.05,4519.22,4527.38,4131,4,0
2026-03-30 11:00:00,4527.41,4537.11,4524.98,4533.95,4636,4,0
