time,open,high,low,close,tick_volume,atr,rsi,ema50,macd,adx,swing_high,swing_low,last_swing_high,last_swing_low,prev_swing_high,structure,bos_bullish,bos_bearish,trend,ob_bullish,ob_bearish,ob_bottom,ob_top,ob_strength,ob_mitigated,active_ob_bull_top,active_ob_bull_bot,active_ob_bear_top,active_ob_bear_bot,inside_ob_bull,inside_ob_bear,fvg_bullish,fvg_bearish,fvg_bull_top,fvg_bull_bot,fvg_bear_top,fvg_bear_bot,active_fvg_bull_top,active_fvg_bull_bot,active_fvg_bear_top,active_fvg_bear_bot,inside_fvg_bull,inside_fvg_bear,sweep_liquidity_high,sweep_liquidity_low,fvg_density,ob_density,range_position,in_premium,in_discount,in_ote_bull,in_ote_bear,is_in_premium,is_in_discount,P_traditional,R1_traditional,S1_traditional,R2_traditional,S2_traditional,P_fibonacci,R1_fibonacci,S1_fibonacci,R2_fibonacci,S2_fibonacci,confluence_score,gold_ema_50,gold_ema_200,gold_trend,dxy_open,dxy_high,dxy_low,dxy_close,dxy_volume,dxy_rsi,dxy_ema_50,dxy_trend,gold_dxy_corr,inverse_confluence,csm_USD,csm_base,csm_quote,csm_diff,news_impact_USD,news_impact_net,news_sentiment,news_impact_score,news_impact_base,news_impact_quote,day_of_week,month,dxy_corr_30d
2025-09-26 04:45:00,3743.17,3744.15,3737.79,3738.87,1239,6.360000000000127,50.0,3738.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3738.87,3738.87,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,5.049671415301123,5.0,5.049671415301123,-0.04967141530112329,0.0,0.0,0.0,0.0,0.0,0.0,4,9,0.0
2025-09-26 05:00:00,3739.04,3741.02,3738.11,3739.25,1094,4.634999999999991,50.0,3738.884901960784,0.03031339031394964,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3740.2700000000004,3742.750000000001,3736.390000000001,3746.6300000000006,3733.9100000000003,3740.2700000000004,3742.6995200000006,3737.8404800000003,3744.2004800000004,3736.3395200000004,0.0,3738.884901960784,3738.873781094527,1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,1,5.252916824634877,5.0,5.252916824634877,-0.25291682463487675,0.0,0.0,0.0,0.0,0.0,0.0,4,9,0.0
2025-09-26 05:15:00,3739.21,3741.13,3737.82,3740.97,991,4.193333333333309,50.0,3738.966670511342,0.19092572300587562,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3739.4600000000005,3740.810000000001,3737.900000000001,3742.3700000000003,3736.5500000000006,3739.4600000000005,3740.5716200000006,3738.3483800000004,3741.25838,3737.6616200000008,0.0,3738.966670511342,3738.8946389940843,1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,1,5.364009073018364,5.0,5.364009073018364,-0.36400907301836405,0.0,0.0,0.0,0.0,0.0,0.0,4,9,0.0
2025-09-26 05:30:00,3741.12,3742.86,3737.75,3738.68,1129,4.422500000000014,47.835990888382,3738.955428530505,0.13190774180384324,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3739.9733333333334,3742.1266666666666,3738.8166666666666,3743.2833333333333,3736.6633333333334,3739.9733333333334,3741.2377533333333,3738.7089133333334,3742.0189133333333,3737.9277533333334,0.0,3738.955428530505,3738.8925032827005,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,5.448061111698756,5.0,5.448061111698756,-0.44806111169875606,0.0,0.0,0.0,0.0,0.0,0.0,4,9,0.0
2025-09-26 05:45:00,3738.72,3741.19,3738.07,3738.39,1077,4.161999999999989,44.8717948717945,3738.933254862642,0.061031457480112294,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3739.763333333334,3741.7766666666676,3736.6666666666674,3744.873333333334,3734.6533333333336,3739.763333333334,3741.715353333334,3737.8113133333336,3742.9213133333337,3736.605353333334,0.0,3738.933254862642,3738.8875032500373,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,5.379342594217087,5.0,5.379342594217087,-0.3793425942170874,0.0,0.0,0.0,0.0,0.0,0.0,4,9,0.0
2025-09-26 06:00:00,3738.53,3738.53,3735.3,3735.41,1106,4.006666666666661,27.415143603132492,3738.7950880052836,-0.23291470781532553,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3739.2166666666667,3740.3633333333332,3737.2433333333333,3742.3366666666666,3736.096666666667,3739.2166666666667,3740.4085066666667,3738.0248266666667,3741.1448266666666,3737.2885066666668,0.0,3738.7950880052836,3738.852901227649,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,4.959294033575907,5.0,4.959294033575907,0.04070596642409274,0.0,0.0,0.0,0.0,0.0,0.0,4,9,0.0
2025-09-26 06:15:00,3735.38,3742.64,3734.55,3742.55,1047,4.589999999999951,62.43243243243327,3738.942339456057,0.1090125382665974,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3736.4133333333334,3737.5266666666666,3734.2966666666666,3739.6433333333334,3733.1833333333334,3736.4133333333334,3737.6471933333332,3735.1794733333336,3738.4094733333336,3734.417193333333,0.0,3738.942339456057,3738.8896882801105,1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,1,4.798633247249871,5.0,4.798633247249871,0.20136675275012905,0.0,0.0,0.0,0.0,0.0,0.0,4,9,0.0
2025-09-26 06:30:00,3742.5,3745.43,3742.42,3745.14,1058,4.392499999999927,68.02760207015534,3739.1853849675845,0.5822716337638667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0,3742.42,3738.53,0.0,0.0,3742.42,3738.53,0.0,0.0,1,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3739.913333333334,3745.2766666666676,3737.186666666668,3748.0033333333336,3731.823333333334,3739.913333333334,3743.003713333334,3736.8229533333338,3744.9129533333335,3734.9137133333343,20.0,3739.1853849675845,3738.951880436527,1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,1,4.781390123959844,5.0,4.781390123959844,0.2186098760401558,0.0,0.0,0.0,0.0,0.0,0.0,4,9,0.0
2025-09-26 06:45:00,3745.16,3746.07,3744.56,3745.52,831,4.072222222222182,68.71131119864968,3739.433801243366,0.9767364905351315,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0,3744.56,3742.64,0.0,0.0,3744.56,3742.64,0.0,0.0,1,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3744.33,3746.24,3743.23,3747.3399999999997,3741.32,3744.33,3745.47982,3743.18018,3746.1901799999996,3742.4698200000003,20.0,3739.433801243366,3739.017234860044,1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,1,4.591229853354773,5.0,4.591229853354773,0.40877014664522715,0.0,0.0,0.0,0.0,0.0,0.0,4,9,0.0
2025-09-26 07:00:00,3745.5,3746.77,3744.81,3746.73,769,3.8609999999999673,70.70600632244499,3739.719926684803,1.3711834695950529,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,3744.56,3742.64,0.0,0.0,3744.56,3742.64,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,3745.383333333333,3746.2066666666665,3744.6966666666663,3746.8933333333334,3743.873333333333,3745.383333333333,3745.9601533333334,3744.806513333333,3746.316513333333,3744.450153333333,0.0,3739.719926684803,3739.093978791785,1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,1,4.524792556418096,5.0,4.524792556418096,0.4752074435819038,0.0,0.0,0.0,0.0,0.0,0.0,4,9,0.0
